doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
0,15.03.26 09:03,"Quick reminder: recognition matters. 👏
A simple “thank you” can turn a tough day into a good one.
As CEO, I see firsthand how much impact appreciation has on energy and performance. 
I love that appreciation is part of the day-to-day here.
What’s the best recognition you’ve received at work?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.02_bjjwdg.png,"A diverse group of coworkers smiling and stacking their hands together in a team huddle in a modern office, symbolizing teamwork, appreciation, and a positive company culture.",154,2,22,Lucas Bennett,CEO @ Vertex Industries,CEO @ Vertex Industries,https://images.unsplash.com/photo-1560250097-0b93528c311a?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3271,22,0,,A,1
1,15.03.26 08:34,"According to Daily Brief News, meteorologists are forecasting intense rainfall and strong winds in several regions, with possible travel disruptions during the morning commute. Authorities advise checking traffic updates and allowing extra travel time.",https://res.cloudinary.com/dz213fkyf/image/upload/v1771953685/ChatGPT_Image_24_feb_2026_15_51_42_vnwrhq.png,"Heavy rain and strong winds batter a busy city street during the morning commute. Traffic is backed up with red brake lights glowing on a wet, reflective roadway. An electronic overhead sign reads “Severe Storm Alert,” while a pedestrian in a dark coat struggles with an umbrella in the downpour. A roadside warning sign indicates an accident ahead, reinforcing hazardous travel conditions.",293,4,3,Daily Brief News,Daily Newspaper,Daily Brief News,https://res.cloudinary.com/dz213fkyf/image/upload/v1771955861/Gemini_Generated_Image_tu8vputu8vputu8v_clsycd.png,12585,19,0,,A,2
2,17.03.26 11:47,"Big day! We just went live with Project Aurora 🎉
As CEO, launches like this are my favorite moments - not because of the milestone itself, but because of what it says about the team behind it.
Huge credit to everyone who put in the work across teams.
Proud of the collaboration (and the calm problem-solving) that got this over the line.

What’s your go-to tip for a smooth launch?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.13_w4due8.png,"A team of employees celebrating around a table with raised hands and a trophy, showing excitement and pride after successfully completing a major project milestone.",152,2,21,Lucas Bennett,CEO @ Vertex Industries,CEO @ Vertex Industries,https://plus.unsplash.com/premium_photo-1763120206737-e77c86a4949c?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3271,29,0,,A,3
3,18.03.26 17:30,"According to Daily Brief News, planned track maintenance across several major routes will cause longer travel times through Thursday. Commuters are advised to check schedules before departure. 🚗

Are you adjusting your commute this week?",https://res.cloudinary.com/dz213fkyf/image/upload/v1771940077/ChatGPT_Image_24_feb_2026_14_32_54_clgm5p.png,"A busy indoor train station with a red passenger train on the left and a yellow maintenance train on the right. An electronic board above the platform displays “DELAYS EXPECTED,” while a smaller digital sign in the foreground reads “CHECK SCHEDULES.” A commuter with a backpack stands on the platform looking toward the trains.",321,5,7,Daily Brief News,Daily Newspaper,Daily Brief News,https://res.cloudinary.com/dz213fkyf/image/upload/v1771955861/Gemini_Generated_Image_tu8vputu8vputu8v_clsycd.png,12585,20,0,,A,4
4,22.03.26 13:29,"Big news: we’re kicking off a mentoring program 🎉
One of the best parts of being CEO is seeing people grow faster than they thought possible.
Honestly, it’s one of the best ways to learn faster -because you don’t have to figure everything out alone.
Super excited to see the conversations (and the “aha” moments) this brings.
 
 What’s the best advice you’ve ever gotten from a mentor?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.24_shcq1r.png,An employee attentively taking notes during a mentoring or training session while a presenter explains information on a screen to a small group in an office setting.,151,2,22,Lucas Bennett,CEO @ Vertex Industries,CEO @ Vertex Industries,https://images.unsplash.com/photo-1560250097-0b93528c311a?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3271,31,0,,A,5
5,15.03.26 09:03,"Recognition plays an important role in a healthy culture.
As CEO, I see that acknowledging contributions not only reinforces positive behavior, but also strengthens accountability and engagement across the organization.
We aim to make appreciation a consistent and embedded practice in our teams.
 
What recognition practices have worked well in your organization?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.02_bjjwdg.png,"A diverse group of coworkers smiling and stacking their hands together in a team huddle in a modern office, symbolizing teamwork, appreciation, and a positive company culture.",138,2,17,Maya Thompson,CEO @ Helix Groups,CEO @ Helix Groups,https://plus.unsplash.com/premium_photo-1763120206737-e77c86a4949c?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4928,22,0,,B,1
1,15.03.26 08:34,"According to Daily Brief News, meteorologists are forecasting intense rainfall and strong winds in several regions, with possible travel disruptions during the morning commute. Authorities advise checking traffic updates and allowing extra travel time.",https://res.cloudinary.com/dz213fkyf/image/upload/v1771953685/ChatGPT_Image_24_feb_2026_15_51_42_vnwrhq.png,"Heavy rain and strong winds batter a busy city street during the morning commute. Traffic is backed up with red brake lights glowing on a wet, reflective roadway. An electronic overhead sign reads “Severe Storm Alert,” while a pedestrian in a dark coat struggles with an umbrella in the downpour. A roadside warning sign indicates an accident ahead, reinforcing hazardous travel conditions.",293,4,3,Daily Brief News,Daily Newspaper,Daily Brief News,https://res.cloudinary.com/dz213fkyf/image/upload/v1771955861/Gemini_Generated_Image_tu8vputu8vputu8v_clsycd.png,12585,19,0,,B,2
7,17.03.26 11:47,"Today, we reached an important milestone: Project Aurora is now live.
As CEO, I would like to formally acknowledge the teams involved for their collaboration and disciplined execution.
This milestone reflects strong cross-functional coordination and delivery focus.
 
What practices have helped your teams deliver successful launches?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.13_w4due8.png,"A team of employees celebrating around a table with raised hands and a trophy, showing excitement and pride after successfully completing a major project milestone.",138,2,17,Maya Thompson,CEO @ Helix Groups,CEO @ Helix Groups,https://plus.unsplash.com/premium_photo-1763120206737-e77c86a4949c?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4928,29,0,,B,3
3,18.03.26 17:30,"According to Daily Brief News, planned track maintenance across several major routes will cause longer travel times through Thursday. Commuters are advised to check schedules before departure. 🚗

Are you adjusting your commute this week?",https://res.cloudinary.com/dz213fkyf/image/upload/v1771940077/ChatGPT_Image_24_feb_2026_14_32_54_clgm5p.png,"A busy indoor train station with a red passenger train on the left and a yellow maintenance train on the right. An electronic board above the platform displays “DELAYS EXPECTED,” while a smaller digital sign in the foreground reads “CHECK SCHEDULES.” A commuter with a backpack stands on the platform looking toward the trains.",321,5,7,Daily Brief News,Daily Newspaper,Daily Brief News,https://res.cloudinary.com/dz213fkyf/image/upload/v1771955861/Gemini_Generated_Image_tu8vputu8vputu8v_clsycd.png,12585,20,0,,B,4
9,22.03.26 13:29,"We are pleased to announce the launch of a mentoring program.
As CEO, I consider structured development initiatives essential to long-term organizational performance.
The objective of this program is to support growth through guided knowledge transfer, capability building, and cross-team learning.
We expect this initiative to strengthen learning, capability building, and long-term growth.
 
We welcome perspectives on effective mentoring practices.",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.24_shcq1r.png,An employee attentively taking notes during a mentoring or training session while a presenter explains information on a screen to a small group in an office setting.,138,2,17,Maya Thompson,CEO @ Helix Groups,CEO @ Helix Groups,https://plus.unsplash.com/premium_photo-1763120206737-e77c86a4949c?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4928,31,0,,B,5
10,15.03.26 09:03,"Quick reminder: recognition matters. 👏
A simple “thank you” can turn a tough day into a good one.
As an employee, I really see how appreciation helps create a more positive and supportive working environment.
I love that appreciation is part of the day-to-day here.
What’s the best recognition you’ve received at work?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.02_bjjwdg.png,"A diverse group of coworkers smiling and stacking their hands together in a team huddle in a modern office, symbolizing teamwork, appreciation, and a positive company culture.",15,1,1,Daniel Foster,Employee @ Orion Services,Employee @ Orion Services,https://images.unsplash.com/photo-1560250097-0b93528c311a?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,201,1,0,,C,1
1,15.03.26 08:34,"According to Daily Brief News, meteorologists are forecasting intense rainfall and strong winds in several regions, with possible travel disruptions during the morning commute. Authorities advise checking traffic updates and allowing extra travel time.",https://res.cloudinary.com/dz213fkyf/image/upload/v1771953685/ChatGPT_Image_24_feb_2026_15_51_42_vnwrhq.png,"Heavy rain and strong winds batter a busy city street during the morning commute. Traffic is backed up with red brake lights glowing on a wet, reflective roadway. An electronic overhead sign reads “Severe Storm Alert,” while a pedestrian in a dark coat struggles with an umbrella in the downpour. A roadside warning sign indicates an accident ahead, reinforcing hazardous travel conditions.",293,4,3,Daily Brief News,Daily Newspaper,Daily Brief News,https://res.cloudinary.com/dz213fkyf/image/upload/v1771955861/Gemini_Generated_Image_tu8vputu8vputu8v_clsycd.png,12585,19,0,,C,2
12,17.03.26 11:47,"Big day! We just went live with Project Aurora 🎉
Being an employee at Orion Services taught me that launch moments like this are meaningful - not just because of the milestone, but because of the effort behind it.
Huge credit to everyone who put in the work across teams.
Proud of the collaboration (and the calm problem-solving) that got this over the line.

What’s your go-to tip for a smooth launch?",https://res.cloudinary.com/dz213fkyf/image/upload/v1770660896/Scherm_afbeelding_2026-02-09_om_19.14.13_w4due8.png,"A team of employees celebrating around a table with raised hands and a trophy, showing excitement and pride after successfully completing a major project milestone.",22,3,3,Daniel Foster,Employee @ Orion Services,Employee @ Orion Services,https://images.unsplash.com/photo-1560250097-0b93528c311a?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,204,3,0,,C,3
3,18.03.26 17:30,"According to Daily Brief News, planned track maintenance across several major routes will cause longer travel times through Thursday. Commuters are advised to check schedules before departure. 🚗

Are you adjusting your commute this week?",https://res.cloudinary.com/dz213fkyf/image/upload/v1771940077/ChatGPT_Image_24_feb_2026_14_32_54_clgm5p.png,"A busy indoor train station with a red passenger train on the left and a yellow maintenance train on the right. An electronic board above the platform displays “DELAYS EXPECTED,” while a smaller digital sign in the foreground reads “CHECK SCHEDULES.” A commuter with a backpack stands on the platform looking toward the trains.",321,5,7,Daily Brief News,Daily Newspaper,Daily Brief News,https://res.cloudinary.com/dz213fkyf/image/upload/v1771955861/Gemini_Generated_Image_tu8vputu8vputu8v_clsycd.png,12585,20,0,,C,4
